"name","team_name","game_date","season","espn_player_id","team_id","espn_game_id","period","minutes_remaining","seconds_remaining","shot_made_flag","action_type","shot_type","shot_distance","opponent","x","y","dribbles","touch_time","defender_name","defender_distance","shot_clock"
"Stephen Curry","Golden State Warriors","2015-11-11",2015,3975,1610612744,400828007,3,2,26,1,"Driving Bank shot","3PT Field Goal",28.1,"Memphis Grizzlies",-89,272,5,5.6,"Smith, Russ",4,19.6
"DeMarre Carroll","Toronto Raptors","2015-12-30",2015,3970,1610612761,400828364,4,8,21,0,"Driving Floating Bank Jump Shot","3PT Field Goal",40.8,"Washington Wizards",2,404,0,1.7,"Porter, Otto",3.9,0.1
"Stanley Johnson","Detroit Pistons","2015-10-27",2015,3134881,1610612765,400827888,4,3,44,0,"Driving Floating Jump Shot","3PT Field Goal",24.5,"Atlanta Hawks",-117,218,0,0.9,"Korver, Kyle",7,3.5
"Randy Foye","Denver Nuggets","2015-12-03",2015,3003,1610612743,400828165,1,0,0,0,"Driving Floating Jump Shot","3PT Field Goal",37.1,"Toronto Raptors",1,442,2,1.8,"Joseph, Cory",5.7,0
"Mario Chalmers","Memphis Grizzlies","2015-12-06",2015,3419,1610612763,400828186,3,0,28,0,"Driving Floating Jump Shot","3PT Field Goal",23.7,"Phoenix Suns",-94,232,5,3.4,"Price, Ronnie",4.2,20.6
"Patrick Patterson","Toronto Raptors","2016-01-22",2015,4264,1610612761,400828536,3,0,0,0,"Driving Floating Jump Shot","3PT Field Goal",41.6,"Miami Heat",-9,406,1,1.1,"Winslow, Justise",4.9,0
"Nicolas Batum","Charlotte Hornets","2016-01-01",2015,3416,1610612766,400828379,1,5,42,1,"Driving Floating Jump Shot","3PT Field Goal",24,"Toronto Raptors",-186,159,1,2.4,"Carroll, DeMarre",2.2,12.5
"Kyle Lowry","Toronto Raptors","2015-12-07",2015,3012,1610612761,400828195,2,0,26,0,"Driving Floating Jump Shot","3PT Field Goal",24.9,"Los Angeles Lakers",101,237,2,1.8,"Clarkson, Jordan",2.1,17.2
"Gordon Hayward","Utah Jazz","2015-11-20",2015,4249,1610612762,400828071,1,1,54,1,"Fadeaway Bank shot","3PT Field Goal",29.1,"Dallas Mavericks",192,223,0,1,"Matthews, Wesley",4.7,0.6
"Damian Lillard","Portland Trail Blazers","2016-01-04",2015,6606,1610612757,400828406,4,3,44,0,"Fadeaway Bank shot","3PT Field Goal",31.9,"Memphis Grizzlies",-176,213,7,7.1,"Randolph, Zach",6.4,17.3
"Ryan Anderson","New Orleans Pelicans","2016-01-23",2015,3412,1610612740,400828544,1,0,0,0,"Fadeaway Jump Shot","3PT Field Goal",27.1,"Milwaukee Bucks",163,208,1,3,"Antetokounmpo, Giannis",2,0
"Robert Covington","Philadelphia 76ers","2015-11-23",2015,2490620,1610612755,400828093,4,0,13,0,"Fadeaway Jump Shot","3PT Field Goal",23.9,"Minnesota Timberwolves",222,57,1,2.9,"Wiggins, Andrew",3.2,10.8
"James Harden","Houston Rockets","2015-11-01",2015,3992,1610612745,400827928,2,8,0,0,"Fadeaway Jump Shot","3PT Field Goal",24.3,"Miami Heat",-46,239,9,8.2,"Green, Gerald",4.3,4.9
"Marco Belinelli","Sacramento Kings","2015-11-13",2015,3190,1610612758,400828024,2,0,0,0,"Fadeaway Jump Shot","3PT Field Goal",28.6,"Brooklyn Nets",-20,277,0,0.8,"Bogdanovic, Bojan",4.2,0
"Eric Gordon","New Orleans Pelicans","2015-12-02",2015,3431,1610612740,400828161,2,5,46,0,"Fadeaway Jump Shot","3PT Field Goal",25.3,"Houston Rockets",210,131,4,3.9,"Capela, Clint",5.2,24
"Isaiah Canaan","Philadelphia 76ers","2015-12-16",2015,2490589,1610612755,400828263,3,7,35,0,"Fadeaway Jump Shot","3PT Field Goal",25.3,"Atlanta Hawks",212,139,3,4.3,"Bazemore, Kent",2.8,0.9
"Mirza Teletovic","Phoenix Suns","2015-11-20",2015,4385,1610612756,400828072,4,4,53,1,"Fadeaway Jump Shot","3PT Field Goal",24,"Denver Nuggets",128,203,0,0.8,"Gallinari, Danilo",4.3,13
"Isaiah Canaan","Philadelphia 76ers","2015-12-16",2015,2490589,1610612755,400828263,4,4,49,1,"Fadeaway Jump Shot","3PT Field Goal",23.6,"Atlanta Hawks",227,23,0,0.9,"Sefolosha, Thabo",4.1,9.2
"Danilo Gallinari","Denver Nuggets","2015-11-28",2015,3428,1610612743,400828128,3,8,11,0,"Fadeaway Jump Shot","3PT Field Goal",28.1,"Dallas Mavericks",110,229,0,0.7,"Felton, Raymond",3.2,1.1
"Wesley Matthews","Dallas Mavericks","2015-11-20",2015,4032,1610612742,400828071,3,1,40,0,"Fadeaway Jump Shot","3PT Field Goal",23.3,"Utah Jazz",-237,16,2,7.3,"Hayward, Gordon",2.3,2
"Chris Paul","Los Angeles Clippers","2015-10-28",2015,2779,1610612746,400827903,3,7,48,1,"Fadeaway Jump Shot","3PT Field Goal",25.8,"Sacramento Kings",-229,120,7,7.6,"Koufos, Kosta",5.8,1.1
"Stephen Curry","Golden State Warriors","2016-01-09",2015,3975,1610612744,400828443,2,6,48,1,"Fadeaway Jump Shot","3PT Field Goal",26.1,"Sacramento Kings",-176,169,0,0.7,"Cauley-Stein, Willie",5.4,8.7
"Chris Paul","Los Angeles Clippers","2015-11-11",2015,2779,1610612746,400828005,4,3,7,1,"Fadeaway Jump Shot","3PT Field Goal",26.9,"Dallas Mavericks",209,154,6,5.6,"Nowitzki, Dirk",4.4,1.4
"Paul Pierce","Los Angeles Clippers","2016-01-09",2015,662,1610612746,400828437,3,4,53,0,"Fadeaway Jump Shot","3PT Field Goal",28.5,"Charlotte Hornets",-12,247,0,0,"Williams, Marvin",3.2,22.7
"Channing Frye","Orlando Magic","2015-11-14",2015,2754,1610612753,400828026,1,10,42,1,"Fadeaway Jump Shot","3PT Field Goal",22.4,"Washington Wizards",232,43,0,0.8,"Humphries, Kris",3.9,15.7
"Randy Foye","Denver Nuggets","2015-11-05",2015,3003,1610612743,400827960,3,0,0,0,"Fadeaway Jump Shot","3PT Field Goal",27.2,"Utah Jazz",-14,269,0,0.8,"Gobert, Rudy",5.2,0
"Khris Middleton","Milwaukee Bucks","2015-11-11",2015,6609,1610612749,400828008,1,0,0,1,"Fadeaway Jump Shot","3PT Field Goal",24.7,"Denver Nuggets",-227,124,0,0.6,"Papanikolaou, Kostas",3.6,0
